17:27:37	75	 MC EWAN HALL	NaN	16:33:37
17:27:44	75	 MC EWAN HALL	NaN	16:33:44
17:27:51	75	 MC EWAN HALL	NaN	16:33:51
17:27:58	76	 MC EWAN HALL	NaN	16:33:58
17:27:38	65	 MC EWAN HALL	NaN	16:33:38
17:27:45	65	 MC EWAN HALL	NaN	16:33:45
17:27:52	66	 MC EWAN HALL	NaN	16:33:52
17:27:59	64	 MC EWAN HALL	NaN	16:33:59
17:28:06	65	 MC EWAN HALL	NaN	16:34:06
17:28:13	64	 MC EWAN HALL	NaN	16:34:13
17:28:20	64	 MC EWAN HALL	NaN	16:34:20
17:28:26	65	 MC EWAN HALL	NaN	16:34:26
17:28:33	64	 MC EWAN HALL	NaN	16:34:33
17:28:40	67	 MC EWAN HALL	NaN	16:34:40
17:28:47	67	 MC EWAN HALL	NaN	16:34:47
17:28:54	64	 MC EWAN HALL	NaN	16:34:54
17:29:01	65	 MC EWAN HALL	NaN	16:35:01
17:29:07	64	 MC EWAN HALL	NaN	16:35:07
17:29:14	63	 MC EWAN HALL	NaN	16:35:14
17:29:21	64	 MC EWAN HALL	NaN	16:35:21
17:29:28	63	 MC EWAN HALL	NaN	16:35:28
17:29:35	63	 MC EWAN HALL	NaN	16:35:35
17:29:42	64	 MC EWAN HALL	NaN	16:35:42
17:29:49	65	 MC EWAN HALL	NaN	16:35:49
17:29:55	66	 MC EWAN HALL	NaN	16:35:55
17:30:02	64	 MC EWAN HALL	NaN	16:36:02
17:30:09	64	 MC EWAN HALL	NaN	16:36:09
17:30:16	65	 MC EWAN HALL	NaN	16:36:16
17:30:23	66	 MC EWAN HALL	NaN	16:36:23
17:30:30	65	 MC EWAN HALL	NaN	16:36:30
17:30:36	65	 MC EWAN HALL	NaN	16:36:36
17:30:43	66	 MC EWAN HALL	NaN	16:36:43
17:30:50	64	 MC EWAN HALL	NaN	16:36:50
17:30:57	65	 MC EWAN HALL	NaN	16:36:57
17:31:04	64	 MC EWAN HALL	NaN	16:37:04
17:31:10	63	 MC EWAN HALL	NaN	16:37:10
17:31:17	65	 MC EWAN HALL	NaN	16:37:17
17:31:24	63	 MC EWAN HALL	NaN	16:37:24
17:31:31	64	 MC EWAN HALL	NaN	16:37:31
17:31:38	63	 MC EWAN HALL	NaN	16:37:38
17:31:45	64	 MC EWAN HALL	NaN	16:37:45
17:31:52	64	 MC EWAN HALL	NaN	16:37:52
17:31:58	65	 MC EWAN HALL	NaN	16:37:58
17:32:05	66	 MC EWAN HALL	NaN	16:38:05
17:32:12	63	 MC EWAN HALL	NaN	16:38:12
17:32:19	63	 MC EWAN HALL	NaN	16:38:19
